"fips" "mkt" "statefp"
"08093" 162 "08"
"08095" 76 "08"
"08097" 208 "08"
"08099" 29 "08"
"08101" 29 "08"
"08103" 188 "08"
"08105" 29 "08"
"08107" 369 "08"
"08109" 29 "08"
"08111" 269 "08"
"08113" 188 "08"
"08115" 76 "08"
"08117" 162 "08"
"08119" 29 "08"
"08121" 76 "08"
"08123" 76 "08"
"08125" 76 "08"
"09001" 370 "09"
"09003" 21 "09"
"09005" 371 "09"
"09007" 21 "09"
"09009" 372 "09"
"09011" 373 "09"
"09013" 21 "09"
"09015" 374 "09"
"10001" 39 "10"
"10003" 39 "10"
"10005" 375 "10"
"11001" 86 "11"
"12001" 305 "12"
"12003" 268 "12"
"12005" 10 "12"
"12007" 305 "12"
"12009" 376 "12"
"12011" 377 "12"
"12013" 10 "12"
"12015" 378 "12"
"12017" 379 "12"
"12019" 380 "12"
"12021" 381 "12"
"12023" 305 "12"
"12027" 382 "12"
"12029" 305 "12"
"12031" 268 "12"
"12033" 19 "12"
"12035" 383 "12"
"12037" 10 "12"
"12039" 10 "12"
"12041" 305 "12"
"12043" 384 "12"
"12045" 10 "12"
"12047" 305 "12"
"12049" 385 "12"
"12051" 386 "12"
"12053" 387 "12"
"12055" 388 "12"
"12057" 389 "12"
"12059" 11 "12"
"12061" 390 "12"
"12063" 11 "12"
"12065" 10 "12"
"12067" 305 "12"
"12069" 391 "12"
"12071" 392 "12"
"12073" 10 "12"
"12075" 305 "12"
"12077" 10 "12"
"12079" 10 "12"
"12081" 83 "12"
"12083" 393 "12"
"12085" 394 "12"
"12086" 395 "12"
"12087" 396 "12"
"12089" 268 "12"
"12091" 397 "12"
"12093" 398 "12"
"12095" 32 "12"
"12097" 32 "12"
"12099" 399 "12"
"12101" 400 "12"
"12103" 401 "12"
"12105" 402 "12"
"12107" 305 "12"
"12109" 268 "12"
"12111" 403 "12"
"12113" 19 "12"
"12115" 83 "12"
"12117" 32 "12"
"12119" 404 "12"
"12121" 305 "12"
"12123" 10 "12"
"12125" 305 "12"
"12127" 405 "12"
"12129" 10 "12"
"12131" 406 "12"
"12133" 10 "12"
"13001" 17 "13"
"13003" 184 "13"
"13005" 18 "13"
"13007" 11 "13"
"13009" 284 "13"
"13011" 38 "13"
"13013" 38 "13"
"13015" 244 "13"
"13017" 184 "13"
"13019" 184 "13"
"13021" 284 "13"
"13023" 284 "13"
"13025" 18 "13"
"13027" 223 "13"
"13029" 17 "13"
"13031" 17 "13"
"13033" 38 "13"
"13035" 74 "13"
"13037" 11 "13"
"13039" 18 "13"
"13043" 17 "13"
"13045" 60 "13"
"13047" 267 "13"
"13049" 18 "13"
"13051" 17 "13"
"13053" 286 "13"
"13055" 244 "13"
"13057" 407 "13"
"13059" 38 "13"
"13061" 11 "13"
"13063" 408 "13"
"13065" 223 "13"
"13067" 80 "13"
"13069" 409 "13"
"13071" 410 "13"
"13073" 38 "13"
"13075" 184 "13"
"13077" 58 "13"
"13079" 284 "13"
"13081" 284 "13"
"13083" 267 "13"
"13085" 303 "13"
"13087" 10 "13"
"13089" 411 "13"
"13091" 284 "13"
"13093" 284 "13"
"13095" 11 "13"
"13097" 80 "13"
"13099" 11 "13"
"13101" 223 "13"
"13103" 17 "13"
"13105" 38 "13"
"13107" 38 "13"
"13109" 17 "13"
"13111" 267 "13"
"13113" 58 "13"
"13115" 244 "13"
"13117" 303 "13"
"13119" 38 "13"
"13121" 412 "13"
"13123" 413 "13"
"13125" 38 "13"
"13127" 18 "13"
"13129" 244 "13"
"13131" 263 "13"
"13133" 38 "13"
"13135" 414 "13"
"13137" 303 "13"
"13139" 303 "13"
"13141" 284 "13"
"13143" 244 "13"
"13145" 286 "13"
"13147" 38 "13"
"13149" 60 "13"
"13151" 415 "13"
"13153" 284 "13"
"13155" 184 "13"
"13157" 38 "13"
"13159" 284 "13"
"13161" 17 "13"
"13163" 38 "13"
"13165" 38 "13"
"13167" 17 "13"
"13169" 284 "13"
"13171" 284 "13"
"13173" 223 "13"
"13175" 17 "13"
"13177" 11 "13"
"13179" 17 "13"
"13181" 38 "13"
